fips_state_code,state_name,fips_county_code,county_name
,,000,Imboden town
,,000,Jacksonport town
,,000,Jacksonville city
,,000,Jasper city
,,000,Jennette town
,,000,Jericho town
,,000,Jerome town
,,000,Johnson city
,,000,Joiner city
,,000,Jonesboro city
,,000,Judsonia city
,,000,Junction City city
,,000,Keiser city
,,000,Kensett city
,,000,Keo town
,,000,Kibler city
,,000,Kingsland city
,,000,Knobel city
,,000,Knoxville town
,,000,Lafe town
,,000,LaGrange town
,,000,Lake City city
,,000,Lakeview city
,,000,Lake View city
,,000,Lake Village city
,,000,Lamar city
,,000,Lavaca city
,,000,Leachville city
,,000,Lead Hill town
,,000,Leola town
,,000,Lepanto city
,,000,Leslie city
,,000,Letona town
,,000,Lewisville city
,,000,Lexa town
,,000,Lincoln city
,,000,Little Flock city
,,000,Little Rock city
,,000,Lockesburg city
,,000,London city
,,000,Lonoke city
,,000,Lonsdale town
,,000,Louann town
,,000,Lowell city
,,000,Luxora city
,,000,Lynn town
,,000,McCaskill town
,,000,McCrory city
,,000,McDougal town
,,000,McGehee city
,,000,McNab town
,,000,McNeil city
,,000,McRae city
,,000,Madison city
,,000,Magazine city
,,000,Magness town
,,000,Magnolia city
,,000,Malvern city
,,000,Mammoth Spring city
,,000,Manila city
,,000,Mansfield city
,,000,Marianna city
,,000,Marie town
,,000,Marion city
,,000,Marked Tree city
,,000,Marmaduke city
,,000,Marshall city
,,000,Marvell city
,,000,Maumelle city
,,000,Mayflower city
,,000,Maynard town
,,000,Melbourne city
,,000,Mena city
,,000,Menifee town
,,000,Midland town
,,000,Midway town
,,000,Mineral Springs city
,,000,Minturn town
,,000,Mitchellville city
,,000,Monette city
,,000,Monticello city
,,000,Montrose city
,,000,Moorefield town
,,000,Moro town
,,000,Morrilton city
,,000,Morrison Bluff town
,,000,Mountainburg city
,,000,Mountain Home city
,,000,Mountain Pine city
,,000,Mountain View city
,,000,Mount Ida city
,,000,Mount Pleasant town
,,000,Mount Vernon town
,,000,Mulberry city
,,000,Murfreesboro city
,,000,Nashville city
,,000,Newark city
,,000,Newport city
,,000,Nimmons town
,,000,Norfork city
,,000,Norman town
,,000,Norphlet city
,,000,North Little Rock city
,,000,Oak Grove town
,,000,Oak Grove Heights town
,,000,Oakhaven town
,,000,Oden town
,,000,Ogden city
,,000,Oil Trough town
,,000,O'Kean town
,,000,Okolona town
,,000,Ola city
,,000,Omaha town
,,000,Oppelo city
,,000,Osceola city
,,000,Oxford city
,,000,Ozan town
,,000,Ozark city
,,000,Palestine city
,,000,Pangburn city
,,000,Paragould city
,,000,Paris city
,,000,Parkdale city
,,000,Parkin city
,,000,Patmos town
,,000,Patterson city
,,000,Peach Orchard city
,,000,Pea Ridge city
,,000,Perla town
,,000,Perry town
,,000,Perrytown town
